EmployeeID,Experience_Years,Hours_Worked_Per_Week,Productivity_Score,Performance_Score,Skill_Level,Defect_Rate,Attendance_Rate,Salary
81,18,54,84.51183342,92.57907,4,0.2899674434,88.77575191,60335
82,8,55,97.53928633,93.18948115,2,6.898210713,93.80773592,29230
83,7,54,86.4711093,70.33868743,1,4.818372536,78.41770648,33735
84,1,39,63.07212193,88.11806069,1,1.243453174,86.70395153,25555
85,21,56,74.1866482,57.19380777,4,2.142718093,91.2618574,63928
86,16,42,82.02653518,50.43095013,3,0.6449068046,74.03293249,59358
87,12,48,76.12831025,50.99864663,1,5.742935397,94.42200718,41027
88,6,40,93.34576042,79.33008687,3,6.220294793,88.183288,32756
89,20,42,92.58684019,72.76974526,4,5.057422984,98.48612311,46941
90,2,50,84.4732408,75.90076745,2,8.17102133,80.18586757,19418
91,29,37,74.93831781,50.37315702,1,8.610088213,73.24437827,50903
92,14,37,70.21345495,71.13433098,3,6.156243967,85.19503603,43874
93,4,33,64.23497273,85.90340806,1,0.1275647971,72.57432315,32170
94,1,44,74.19590734,72.1346851,3,6.952296557,99.0857957,24445
95,23,57,76.52690069,86.61096032,3,4.179992169,71.16054875,65097
96,18,40,87.032917,61.65094822,3,5.655574832,92.60511703,43280
97,13,40,86.32639297,90.65710022,4,6.49080602,85.75307194,45524
98,2,30,62.80432559,79.42156202,2,3.502366143,81.05861957,25654
99,9,46,75.81037262,60.53815497,1,9.170985052,71.97526494,24965
100,21,44,67.27115469,61.83602379,2,1.339748667,88.66500773,68188
101,2,49,66.27250821,81.40152323,3,6.715118073,87.55660988,22604
102,27,35,93.09208599,91.49697966,3,0.04359579957,78.42649819,79132
103,25,53,61.67660867,70.7813891,2,9.246511054,97.30665104,40184
104,9,51,76.76731504,62.91502146,2,1.125041332,79.12330022,39438
105,1,57,66.72814623,93.35058035,1,0.9488423015,83.49176232,22012
106,11,54,95.17320863,83.46341459,3,3.330076331,86.31287368,47548
107,3,44,82.28162053,72.40427436,2,3.73566286,73.00695635,28215
108,20,38,69.25522546,74.39500976,4,2.143000723,97.96485158,61004
109,23,43,80.09709149,60.2128234,3,5.851216609,81.23608457,59610
110,26,47,89.25945439,81.3401315,3,4.42914098,72.42337642,58524
111,4,55,98.32472036,67.93712553,1,0.3417558904,81.61873521,31319
112,18,46,68.81784017,99.78225883,4,3.196520623,88.00607641,60849
113,23,47,95.44727089,74.00917576,1,8.104329136,85.40958015,45683
114,6,34,97.37216457,74.29428031,4,6.897015349,90.83625922,34099
115,3,49,96.65682178,78.29258937,1,7.248708536,71.66451826,22676
116,22,49,85.41657427,95.83780016,4,6.981169241,78.53621831,52634
117,11,38,85.19282618,90.04090499,4,3.109730214,94.57691731,57972
118,15,40,76.12842533,72.55650349,4,0.9966392208,72.39681063,62572
119,22,53,90.09591529,85.9349633,2,2.72467184,95.66457864,52673
120,28,51,81.25176073,79.31177494,3,8.317853002,72.75688276,63678
121,5,30,87.09752285,74.61835244,4,9.804707978,95.03362645,24805
122,20,47,77.13831615,59.61578864,2,4.938470147,80.82365203,46895
123,10,35,89.25985856,73.19681317,2,0.09700354923,88.3662719,40900
124,12,56,92.9788607,62.29092935,1,1.400448121,74.58661347,40265
125,15,31,65.85745026,95.74210749,3,3.220805753,71.98506165,46250
126,17,44,93.31718862,66.77034067,3,5.785853486,76.47814612,43299
127,10,58,81.61186127,97.61320073,1,0.7509364581,73.83561454,34863
128,6,55,93.78663636,76.6527645,3,9.433572987,79.37217693,31057
129,18,50,77.25206825,81.57721893,1,3.650836733,85.4314974,39916
130,13,43,75.16161942,77.14702222,2,9.125842179,87.66278391,36828
131,3,34,96.6024293,56.46903085,2,7.805218028,93.69604322,23855
132,24,35,70.0467707,68.79106095,4,7.554372725,89.6871968,61654
133,10,35,93.76849301,54.95730561,1,6.067195798,88.26274975,31362
134,14,59,79.3608229,81.14770221,2,6.267838171,82.35346082,42231
135,6,51,80.5638177,72.34370976,2,6.380032352,84.21425305,31378
136,3,59,72.33873126,88.89924858,1,6.28721387,82.43562488,22022
137,16,47,82.92168802,61.02352405,2,5.537282314,95.2649809,41760
138,7,43,73.00844785,58.22830292,3,9.864140185,76.90001358,28248
139,20,39,61.57077657,70.31661155,2,7.322905674,70.17162795,42284
140,14,43,70.87994421,96.32926916,1,7.769463884,89.53959692,32481
141,9,42,60.25516174,85.52109075,3,8.724628151,76.07386551,31242
142,15,59,99.13419148,70.94618124,3,2.156397627,96.70345409,49285
143,21,32,98.62988839,75.86360849,2,0.838041591,95.77138989,70652
144,3,59,75.8062119,54.21065056,4,4.828944366,72.30182116,35864
145,2,35,89.13483417,99.22879482,3,5.140806956,73.19165216,26796
146,27,58,73.83224394,83.32036523,1,8.291817799,84.85514777,46390
147,2,37,86.84372628,64.27020342,4,4.437835793,88.27667988,27575
148,3,41,92.21720172,79.29041971,4,5.708530255,78.24725012,33758
149,18,42,97.87024979,55.4741183,3,5.270709385,91.5039315,43861
150,14,40,76.00849103,98.29183344,2,0.3820278376,87.84748063,56640
151,20,41,91.33191932,58.73924939,4,6.152148966,79.74472329,47312
152,18,30,70.63713803,82.4015159,2,8.280432858,70.76114464,36553
153,10,46,99.61329215,62.27272313,3,1.575005481,92.50450844,41599
154,25,45,61.03078395,85.87806913,1,5.943317339,76.44260997,45317
155,2,40,84.14115226,88.84106836,4,5.936105444,95.0342123,26877
156,25,42,86.38023927,83.67098645,1,1.641849641,82.6087078,61634
157,29,47,87.52182228,80.72497301,2,1.234635737,87.31232328,82386
158,22,40,64.81550315,94.6234547,2,9.80051943,96.18846191,47845
159,1,57,97.54119134,53.93133555,1,3.937191697,95.90869003,22255
160,4,41,67.24733116,66.54573829,3,2.274217287,81.14558726,30353
161,14,35,84.91013613,62.41437398,3,1.713245445,76.26666678,55169
162,1,38,68.90704316,99.4006981,4,6.676017136,93.25438233,25885
163,14,45,72.28865668,69.46948898,4,6.094452973,82.99240611,49985
164,16,33,81.85834167,86.63063496,3,6.43552123,75.76125981,41172
165,22,32,76.68773674,84.23625819,3,0.8800602751,97.13276027,70620
166,14,57,66.40902404,60.60406187,1,8.935345835,75.94312583,33040
167,29,45,66.8374561,61.94988401,2,3.892663968,70.77421505,60176
168,20,53,76.72579153,64.06422818,2,3.133694064,70.60839921,46575
169,3,56,90.29131913,70.55636391,4,4.623614472,88.66946069,30038
170,3,55,95.91858587,61.71625328,3,3.900660657,89.85025182,33115
171,9,59,63.36510649,50.98257414,1,8.635770031,79.33125115,28303
172,6,54,75.7241563,93.96965284,4,9.292609752,79.60032968,36005
173,25,41,64.00982255,98.28049157,1,3.034532164,80.18481745,47860
174,13,40,60.66369923,67.07851935,3,8.639358075,90.4047564,44846
175,21,34,86.46874731,66.92534397,3,7.815231295,71.74401373,51363
176,2,54,84.09797768,50.35459064,3,9.308076723,97.87349058,20300
177,8,47,66.52076455,84.01253442,2,2.457503122,76.67563133,39678
178,21,48,69.35251332,91.27199479,3,5.769591501,99.99019616,54392
179,2,52,60.94831015,57.33041502,4,2.745445847,75.14568081,27392
180,4,52,93.39788823,57.98331747,2,8.240944905,93.14639372,24025
181,25,35,98.98762384,89.5041625,1,0.05324190571,76.70237635,57583
182,15,51,65.41838147,80.81453742,4,5.648191629,72.42540405,44751
183,4,47,69.25900855,52.24302788,4,3.392034313,96.24799973,36100
184,13,55,94.73638096,81.12734952,1,3.226837071,95.76253778,39022
185,28,35,97.05855192,65.44588614,2,6.449063239,82.10711177,70642
186,12,33,76.78509531,68.43625777,4,8.514844493,91.07188428,48310
187,28,41,62.02489889,88.48657091,4,6.091953914,86.71197798,80158
188,13,48,61.57567335,90.54675963,4,8.531729786,95.58868341,39097
189,14,58,82.95799464,70.01783134,2,2.645971119,79.45167908,44556
190,20,56,75.71580436,97.3576468,2,5.195018548,85.710172,42535
191,18,58,61.1460971,70.3231359,2,4.505365391,84.56117114,47082
192,29,31,83.33009569,88.59180176,4,0.116448995,80.61717479,85624
193,28,46,60.45210146,74.19386323,3,5.568121431,96.74365194,68098
194,6,40,91.49487833,94.87661633,1,6.615243241,74.97633774,26204
195,29,40,72.25731291,95.38806218,3,5.919144044,74.48525919,70701
196,11,50,61.61032012,54.37084039,2,7.362798988,87.30728606,38187
197,2,45,83.53408884,96.82466657,4,5.713395285,89.7248269,28066
198,28,31,75.90737658,91.27674208,4,0.6675025485,75.83857763,104806
199,23,31,98.95201653,89.56553572,3,1.164455241,81.72152327,71605
200,19,52,81.7679465,60.04556698,3,5.964745775,98.39691529,50233
201,19,37,71.00956724,90.25596044,1,2.74979192,77.39852268,41726
202,5,42,88.37755459,92.50663673,4,0.7964512903,90.05082106,36831
203,19,39,70.8596801,64.45751672,3,4.296027434,92.20448181,43975
204,2,37,96.16973166,97.61300392,1,5.543225981,83.44386098,18594
205,10,59,74.98887882,52.49300732,2,3.287459883,98.1257796,33713
206,25,33,81.99474251,57.49546266,3,7.204337022,92.09970206,50371
207,2,44,62.02292415,76.8790569,2,6.437706081,83.7377374,23022
208,11,59,77.04484952,78.78962356,1,3.328183611,87.08005605,45467
209,18,30,93.29454159,82.25750417,2,7.548725289,90.7784033,42410
210,29,40,92.22595221,50.84845647,4,6.486950425,87.76570541,89486
211,24,36,68.97274235,98.01833873,4,6.374453787,96.36092751,66001
212,15,46,69.04316284,52.22940464,2,5.534277008,80.70665987,45651
213,9,56,92.69221249,57.15309764,4,0.1138966809,78.9965722,53724
214,23,49,97.21593681,50.70072588,1,6.965071835,76.41516668,47156
215,19,53,63.81443685,78.34292166,4,3.760417911,71.13348904,58632
216,9,47,78.00234558,96.6133442,2,9.426097102,71.29041893,26768
217,3,51,73.49817116,83.2973583,2,8.179847711,96.10165579,22323
218,21,58,94.82753822,91.13287342,2,5.876944695,90.35179439,53653
219,9,51,63.34099659,50.66406017,3,2.521819818,89.81597246,37443
220,28,41,68.4450377,77.10076492,2,2.037173933,88.43928457,63368
221,14,38,90.0987335,72.97814888,1,3.403848377,95.47657434,39084
222,19,34,62.05175396,74.94839721,4,4.765679436,84.40800777,56127
223,7,39,79.70141523,53.61065927,4,2.9606551,96.11232486,43405
224,16,33,77.68428139,84.22176805,3,5.149294954,80.78335079,51878
225,16,34,73.37604716,75.16102074,3,1.653704255,97.80122513,58913
226,28,57,75.78289261,88.25744249,1,9.777128128,90.9597094,53709
227,1,57,81.19762348,74.2645317,2,1.07924555,77.71531408,27884
228,4,39,66.45469434,57.46908181,3,9.319441397,86.92254765,26417
229,4,40,82.87983513,82.4128477,4,9.135780114,85.99091684,28657
230,7,50,92.21729317,58.61931811,3,5.253604818,74.13696465,38203
231,8,53,90.40643719,93.61972817,3,7.249102718,87.73728717,33670
232,17,39,66.15599619,80.65581195,2,4.36048298,79.44356871,40259
233,5,57,65.96997879,57.86019418,3,6.300345775,71.570463,26513
234,7,37,70.72697471,98.11690287,1,3.405759374,98.45968473,34549
235,28,31,74.44298905,75.91827317,4,3.011590198,89.24471107,101094
236,20,52,76.33822326,53.64492259,2,5.782297862,96.30756796,42471
237,29,37,87.18788867,81.34164522,4,4.981296742,90.28168015,75139
238,20,45,62.26721729,62.65994535,1,5.795363691,80.70951076,33939
239,4,56,61.38690817,90.18467259,1,2.866605813,85.38064217,28310
240,28,51,75.67642252,90.89110368,3,3.669578318,90.27240281,85104
241,6,34,87.88654769,98.94736779,3,0.8389796063,98.80756976,39644
242,7,56,67.73741372,75.09347655,3,0.5227637227,77.61008377,47440
243,18,54,85.66017925,72.74784399,4,2.534571297,96.24931176,62475
244,5,58,70.39312552,87.67378027,1,0.7424685933,97.72233416,29395
245,20,32,95.44344435,56.62353282,2,1.037747086,90.11246544,50862
246,29,41,95.82759777,77.34577569,3,8.129284054,97.93799882,67002
247,3,42,71.89148817,77.31238001,4,0.3887369702,81.93635762,36660
248,7,42,69.19975016,54.47365614,3,6.589427939,98.59048528,39015
249,27,39,76.45215888,70.89920428,1,2.725577488,91.08348631,54948
250,28,33,69.62126341,92.66423993,2,8.715456807,71.26017302,67985
251,22,38,86.89535373,92.8076811,1,4.849922846,97.20618495,56031
252,14,51,93.04258738,54.96188325,4,3.055764593,84.53418427,54520
253,7,53,86.92368524,54.53604414,3,5.176389357,83.80980954,39519
254,5,52,92.97401789,63.13477385,1,3.81958019,86.99399818,25462
255,29,56,75.87968649,93.73830313,4,5.643010647,74.4815364,90798
256,22,31,66.25267883,56.44512925,3,1.145328683,84.07498146,63026
257,5,48,89.5180379,85.99984013,2,9.969905028,94.9338165,20364
258,23,30,74.41898021,55.05828098,1,4.255558777,70.46447377,57857
259,2,54,86.85083301,81.15689269,3,3.482306397,78.18751481,27855
260,27,58,70.82575768,67.80336496,3,7.102098483,70.07363759,52163
261,21,36,63.24918539,89.44569815,3,3.638994065,82.47133927,66855
262,22,46,99.70327182,61.68452244,3,8.33274305,91.84946531,47554
263,6,32,66.24806032,81.96009147,1,4.542707244,93.96315487,31561
264,15,49,99.53683976,61.78412673,3,7.195584133,98.35569283,46510
265,21,49,99.0911973,85.68301416,4,1.074532164,88.25513839,65899
266,10,50,91.75272416,93.68390173,1,8.461191856,77.638806,29242
267,23,59,86.37691848,56.34008996,3,7.357179868,97.72443847,60933
268,26,32,83.11228201,93.32978443,1,2.117167785,93.25947262,57192
269,24,32,94.64406182,79.67876272,4,1.452860097,87.23285449,72924
270,7,46,71.57758086,56.35552454,4,3.162923487,90.86920647,43239
271,5,36,78.7072485,71.37709277,1,9.76070586,97.72949065,19321
272,1,56,84.77559877,58.04301467,3,2.568315746,91.37182085,25564
273,13,55,76.44761903,85.01739444,3,4.561272089,81.05123523,46026
274,21,43,77.09945816,87.94340672,4,0.3002022572,91.39084607,81117
275,26,46,73.2113867,55.28982601,3,3.972275296,71.20834488,63029
276,18,47,82.56927267,75.30699263,4,5.713200154,81.59246685,51063
277,13,42,94.02298112,90.7312528,3,9.531246125,82.18969096,39582
278,21,49,68.06113512,96.80815208,4,5.167360449,75.00514703,72322
279,21,58,97.37732155,75.67589334,2,8.191073262,70.69256442,51107
280,18,49,87.56350615,97.51396118,3,5.471276426,74.0014371,45235
281,5,50,92.93092851,76.78444852,3,0.4078501344,89.63864487,37941
282,13,56,82.24762771,69.70952473,3,3.150082752,94.06866449,45762
283,4,47,91.18066806,92.41015643,1,5.755495078,99.64610478,25916
284,17,33,60.64801589,74.64913552,3,9.505939659,80.39090509,39591
285,3,30,92.73521699,73.59512553,1,8.591303598,87.98137667,20749
286,17,47,61.60555436,74.51562447,1,2.283556142,98.114349,43924
287,28,30,95.59653505,92.33925009,4,2.2010983,75.01125344,99432
288,11,55,99.67850989,91.59707708,1,2.011729671,91.52936759,47086
289,21,55,71.76269849,70.17599962,1,9.224988963,92.64936199,41978
290,20,42,68.41274225,66.66499299,2,8.526661531,72.66926608,38382
291,23,49,90.61453455,74.5964012,3,7.748834323,95.83748156,53281
292,21,49,70.12105364,78.63862549,1,3.927351142,94.39315141,54973
293,26,52,94.62249533,61.91686053,3,5.043807043,71.0020902,67114
294,4,39,64.11370369,89.69775424,1,4.643317448,72.73253245,26957
295,2,56,65.03820786,74.32413829,4,2.533981076,71.47380682,28611
296,20,40,99.1660622,66.70227742,2,5.050280461,80.04230595,42524
297,16,38,86.95355593,55.34104965,1,0.3049654785,85.27866972,49169
298,28,38,93.87548898,61.94225802,3,1.318103735,85.97043184,82008
299,18,34,72.97317509,97.46405859,4,8.865895962,78.03000279,41519
300,8,55,87.05934998,65.25498434,3,7.51679767,97.3479066,36930
301,3,30,83.76967309,58.44296447,4,4.228684091,81.0478837,35044
302,9,46,84.1260048,73.03363958,2,5.171503623,71.36650468,37710
303,29,51,87.30129838,65.35438717,4,3.69998886,79.00681335,75757
304,20,31,83.01436693,51.75796251,3,7.407798672,85.93328268,46224
305,29,53,77.16249477,66.15726086,3,7.841871792,82.24665468,69745
306,6,42,71.03690778,77.2054312,1,7.632851902,78.21527557,27716
307,10,38,90.74325324,77.5856186,4,7.226117248,73.93969749,34658
308,21,58,69.0508972,67.82794606,3,2.045043387,94.574935,63415
309,10,33,87.69417225,72.36513781,1,3.379699792,99.88435726,33716
310,13,34,69.33331291,98.27589591,2,4.69845435,79.88626401,41995
311,17,40,85.0132068,68.86742386,3,3.307929914,81.44863133,46119
312,9,53,89.88313069,62.91134066,1,7.549402002,88.54112574,27890
313,17,48,68.74855556,62.1733522,3,3.293535242,91.55324424,46355
314,24,50,62.39773203,72.88823064,4,1.382320868,81.76088604,74067
315,9,32,65.23894972,87.97600744,1,3.99040452,97.14788551,32630
316,9,41,84.23987869,60.29940921,4,9.799144328,86.80011968,31857
317,1,55,93.97785625,85.46480636,2,2.258814129,83.51170229,24920
318,2,48,61.79987285,51.05749117,4,6.121586589,89.40018259,25259
319,28,48,89.36605036,70.9466489,1,4.329730498,98.58411545,67737
320,16,42,73.65274584,88.79325326,3,0.7102456765,93.83656883,55322
321,29,57,79.1411348,66.93664779,1,4.87876606,71.20039392,75020
322,1,36,97.15438199,78.18685507,4,7.021643286,79.96929732,25327
323,10,44,73.27886019,60.24896164,4,5.132199758,84.11634055,37528
324,18,52,78.61347736,87.09976956,3,8.721060637,79.43552717,37618
325,26,36,60.54729659,52.61395516,2,2.889370167,91.00562682,58412
326,28,55,63.2639488,92.62713224,1,0.862491713,94.7880745,65224
327,8,37,70.34366365,59.90981932,3,9.365656117,91.94035286,34459
328,21,34,61.11408963,93.71990159,3,3.781963495,99.6799986,67965
329,28,50,85.25501304,67.62646207,3,5.764055515,78.17642944,85326
330,11,43,77.05593427,86.13417872,1,7.920031261,96.24968485,33170
331,23,33,81.92580811,65.96126489,1,3.243136639,92.99867996,48212
332,2,52,66.98588744,95.29558356,1,7.161645382,80.86536273,19579
333,8,39,71.83728118,56.33185628,2,1.354188498,92.02373631,41165
334,27,49,86.55297899,58.92598946,3,2.912937472,73.12227869,72568
335,22,44,98.61210895,74.65150626,4,1.447106361,93.68000447,80637
336,8,47,62.01667094,54.09692195,4,8.112305584,85.96991808,37174
337,17,49,95.61537283,59.79900924,3,2.226492352,78.76870518,56928
338,15,42,83.07524805,97.18831911,4,7.174035554,89.67331905,47586
339,17,58,82.55678267,98.82448306,2,9.432983972,89.24859996,33125
340,28,37,80.01114141,68.81296647,2,5.277722091,76.28458668,76192
341,23,38,62.77576344,96.16430105,1,5.400291923,70.91192244,51330
342,24,45,63.59507407,77.24123378,1,4.610335681,83.00867761,51979
343,13,48,84.03648023,63.48712329,1,3.258901434,87.08535608,42100
344,19,45,73.63834286,85.11993605,1,4.756550309,96.29815835,38097
345,5,36,96.69072266,82.94509033,1,6.028075323,97.84650387,22004
346,12,43,76.26362149,99.45626596,4,9.859915722,85.86415654,41618
347,1,57,65.73125835,63.25236437,4,9.377645593,92.61410451,21116
348,23,43,88.58875334,83.60297513,1,8.621529583,83.17909817,40819
349,5,54,71.73413686,52.60118775,2,8.891305357,92.3824647,21365
350,8,56,81.01881229,55.68230193,4,4.678491833,76.14404575,38226
351,13,33,87.91331142,50.19591875,2,6.574443272,81.13194204,43155
352,8,55,96.01056445,99.97303405,2,8.950667229,89.02683996,28129
353,25,44,91.68764779,90.11368486,3,3.92950765,70.54473897,65849
354,23,32,87.05444271,89.33615074,3,9.617624783,91.67383931,53160
355,11,34,87.1853273,75.48630376,1,4.157860621,95.06606504,41615
356,1,30,97.83698576,65.00335415,2,6.010826654,81.97424983,22411
357,13,32,71.8329639,57.56321422,4,7.098047133,83.43827252,46957
358,19,44,60.04448377,64.23373694,3,9.505920131,95.53846637,37864
359,24,53,70.87818238,68.7985611,3,2.446162741,93.26963906,69156
360,3,56,68.71565519,87.81550485,2,7.461309782,78.64448467,22798
361,24,37,86.4733834,76.98308945,3,5.208155861,79.7192832,53503
362,17,58,85.34846399,53.87418133,3,2.685571406,90.36634697,49477
363,5,33,83.73845531,50.90145045,4,7.766068398,86.89594277,27538
364,20,31,60.64973773,55.11660898,2,5.522222802,74.86688713,40695
365,21,58,89.15112218,70.52493568,3,6.609738206,79.29789728,55244
366,8,53,72.9412165,96.65964585,2,3.229010686,96.99949831,37262
367,26,53,86.60223956,81.87012406,3,4.812739518,90.6452331,62150
368,14,39,82.26313714,90.09129499,4,6.17354251,99.57922953,50132
369,4,33,73.70923702,73.31872973,2,4.049108143,93.0103759,26750
370,11,32,65.38305068,68.08330416,3,1.983725398,98.25923296,47210
371,20,31,63.77675591,55.42001864,4,9.616404923,76.48565722,41250
372,15,54,93.26073332,93.79665111,3,5.1146754,93.14454624,48525
373,19,46,96.73590168,89.15800145,2,7.339203703,70.6065256,37688
374,7,52,85.99152187,58.40590488,3,4.110471936,90.12280065,39400
375,19,50,64.13736459,75.61302819,2,3.55131764,84.07846834,43706
376,28,53,76.08108868,74.3687404,2,4.071642985,80.40280216,58545
377,19,49,89.157568,81.25457763,3,4.091966438,95.87213057,48812
378,11,52,91.19283536,97.3093447,4,5.441801159,95.62803078,50648
379,26,42,64.72874489,78.98857209,1,5.4346987,70.66905115,46268
380,5,34,60.00122875,77.01086334,4,4.971538159,88.28515367,29731
381,5,59,88.48548184,52.51614665,4,1.347857849,81.03496673,40587
382,22,50,74.26384704,53.1453738,3,4.960754785,82.46983005,61171
383,8,59,70.17925326,59.36733957,4,1.691039004,94.96122218,48008
384,10,38,60.51589879,51.62353858,4,1.261357863,79.29519315,43160
385,6,54,81.61197627,87.16764478,1,9.326457173,98.29146432,27580
386,15,58,94.04602942,86.1665152,4,6.049500131,75.38901479,48154
387,16,54,98.30526585,56.80281172,1,6.594900581,89.8816727,32917
388,28,57,82.62979802,91.80394504,3,4.017936703,90.16315201,93461
389,17,51,80.57845311,57.73930174,1,9.089808919,77.56585484,34769
390,8,35,63.40225542,65.05877935,2,6.379304896,79.74251827,31702
391,8,34,81.95491206,62.44884496,2,7.691698695,95.04395478,29014
392,25,54,75.19916316,68.61535493,1,3.68562469,92.85415765,50729
393,9,39,84.28541124,62.73318829,2,9.600118808,79.87287641,29050
394,2,37,75.54905392,74.44754632,3,8.204612902,86.01869641,22484
395,15,36,69.61196494,70.37039407,2,8.53948463,71.85040889,35465
